	Макс знач	Мин значение	Среднее значение

X	0.48389	-0.0023089		0.03969463355072464
Y	-0.0033623	-0.51984		-0.0499930036231884
Z	0.03595	0.0021452		0.010298352173913046
XY	0.72978	-0.053128		0.030845343021739125

				Процент отклонения
	NODE	EPPLX	EPPLY	EPPLZ	EPPLXY	EPPLYZ	EPPLXZ
	2	106%	91%	33%	108		  0		  0
	722	101%	84%	18%	146		  0		  0
	723	106%	93%	45%	102		  0		  0
	1033	75%	62%	9%	103		  0		  0
	1034	97%	82%	23%	163		  0		  0
	1854	96%	82%	26%	111		  0		  0
	1855	88%	75%	22%	98		  0		  0
	1856	85%	71%	20%	88		  0		  0
	1857	82%	69%	17%	81		  0		  0
	1858	81%	68%	16%	77		  0		  0
	1859	80%	66%	14%	74		  0		  0
	1860	79%	66%	14%	74		  0		  0
	1861	78%	65%	13%	75		  0		  0
	1862	78%	65%	13%	76		  0		  0
	1863	77%	64%	12%	79		  0		  0
	1864	77%	64%	13%	81		  0		  0
	1865	77%	64%	12%	84		  0		  0
	1866	77%	63%	12%	86		  0		  0
	1867	77%	63%	12%	89		  0		  0
	1868	76%	63%	12%	90		  0		  0
	1869	77%	63%	12%	93		  0		  0
	1870	76%	63%	11%	94		  0		  0
	1871	77%	63%	12%	96		  0		  0
	1872	76%	63%	11%	97		  0		  0
	1873	77%	63%	12%	98		  0		  0
	1874	76%	63%	11%	99		  0		  0
	1875	76%	63%	12%	100		  0		  0
	1876	76%	63%	11%	101		  0		  0
	1877	76%	63%	12%	102		  0		  0
	1878	76%	63%	11%	102		  0		  0
	1879	76%	63%	11%	104		  0		  0
	1880	76%	62%	10%	105		  0		  0
	1881	76%	62%	11%	106		  0		  0
	1882	75%	62%	10%	108		  0		  0
	1883	75%	62%	10%	109		  0		  0
	1884	74%	61%	9%	112		  0		  0
	1885	74%	61%	9%	114		  0		  0
	1886	74%	60%	8%	117		  0		  0
	1887	73%	60%	7%	120		  0		  0
	1888	73%	59%	7%	124		  0		  0
	1889	73%	59%	6%	128		  0		  0
	1890	73%	59%	6%	132		  0		  0
	1891	73%	59%	6%	135		  0		  0
	1892	73%	59%	7%	138		  0		  0
	1893	74%	60%	7%	138		  0		  0
	1894	75%	61%	9%	138		  0		  0
	1895	76%	63%	10%	135		  0		  0
	1896	79%	66%	14%	129		  0		  0
	1897	82%	69%	17%	120		  0		  0
	1898	88%	75%	25%	107		  0		  0
	1899	97%	84%	35%	96		  0		  0
	3345	91%	75%	11%	149		  0		  0
	3346	85%	70%	12%	140		  0		  0
	3347	80%	66%	11%	131		  0		  0
	3348	77%	63%	10%	125		  0		  0
	3349	74%	60%	8%	122		  0		  0
	3350	71%	57%	5%	121		  0		  0
	3351	68%	55%	4%	123		  0		  0
	3352	65%	52%	2%	124		  0		  0
	3353	62%	50%	2%	127		  0		  0
	3354	59%	47%	0%	129		  0		  0
	3355	57%	46%	1%	132		  0		  0
	3356	55%	44%	0%	134		  0		  0
	3357	54%	43%	2%	136		  0		  0
	3358	53%	42%	1%	137		  0		  0
	3359	53%	42%	3%	138		  0		  0
	3360	52%	42%	2%	139		  0		  0
	3361	53%	43%	4%	139		  0		  0
	3362	53%	42%	3%	140		  0		  0
	3363	53%	43%	4%	140		  0		  0
	3364	53%	43%	5%	140		  0		  0
	3365	53%	43%	5%	139		  0		  0
	3366	53%	43%	5%	139		  0		  0
	3367	52%	43%	5%	139		  0		  0
	3368	52%	43%	6%	139		  0		  0
