1/1=1,000	2/1=2,000	3/1=3,000	4/1=4,000	5/1=5,000	6/1=6,000	7/1=7,000	8/1=8,000	9/1=9,000	

1/2=0,500	2/2=1,000	3/2=1,500	4/2=2,000	5/2=2,500	6/2=3,000	7/2=3,500	8/2=4,000	9/2=4,500	

1/3=0,333	2/3=0,667	3/3=1,000	4/3=1,333	5/3=1,667	6/3=2,000	7/3=2,333	8/3=2,667	9/3=3,000	

1/4=0,250	2/4=0,500	3/4=0,750	4/4=1,000	5/4=1,250	6/4=1,500	7/4=1,750	8/4=2,000	9/4=2,250	

1/5=0,200	2/5=0,400	3/5=0,600	4/5=0,800	5/5=1,000	6/5=1,200	7/5=1,400	8/5=1,600	9/5=1,800	

1/6=0,167	2/6=0,333	3/6=0,500	4/6=0,667	5/6=0,833	6/6=1,000	7/6=1,167	8/6=1,333	9/6=1,500	

1/7=0,143	2/7=0,286	3/7=0,429	4/7=0,571	5/7=0,714	6/7=0,857	7/7=1,000	8/7=1,143	9/7=1,286	

1/8=0,125	2/8=0,250	3/8=0,375	4/8=0,500	5/8=0,625	6/8=0,750	7/8=0,875	8/8=1,000	9/8=1,125	

1/9=0,111	2/9=0,222	3/9=0,333	4/9=0,444	5/9=0,556	6/9=0,667	7/9=0,778	8/9=0,889	9/9=1,000	

